number,title,genre,rating,casting,place,period
71,시데레우스,창작,9.3,"['고영빈', '정민', '박민성', '신성민', '정욱진', '신주협', '김보정', '나하나']",충무아트센터 중극장 블랙,2019/04/17 ~ 2019/06/30 
72,위윌락유,라이선스,,"['정동하', '유회승', '곽동현', '조환지', '샤넌', '임소라', '황한나', '서문탁', 'BMK', '김나윤', '김종서', '최수형', '정상윤', '홍록기', '서범석', '김재만', '정찬우', '임춘길', '안태준', '백주연', '오진영', '채시현', '임동섭', '이종영', '류수아', '염승윤']",잠실종합운동장 위윌락유 로열씨어터,2019/12/17 ~ 2020/01/29 
73,여명의 눈동자,창작,9.5,"['김지현', '문혜원', '박민성', '김수용', '김보현', '테이', '이경수', '구준모', '조태일', '김진태', '조남희', '유보영', '선한국', '백건우', '김효성', '백시호', '김종준', '문장미', '김수영', '김지원', '유주연', '김한결', '한정희']",디큐브아트센터,2019/03/01 ~ 2019/04/14 
74,아랑가,창작,9.1,"['강필석', '박한근', '박유덕', '안재영', '김지철', '최연우', '박란주', '이정열', '김태한', '윤석원', '임규형', '유동훈', '정지혜', '박인혜']",대학로 티오엠 1관,2019/02/01 ~ 2019/04/07 
75,지킬 앤 하이드,라이선스,9.6,"['민우혁', '전동석', '윤공주', '아이비', '해나', '이정화', '민경아', '김봉환', '이희정', '강상범', '홍금단', '이창완', '이상훈', '이용진', '김이삭', '이재현', '남궁혜인', '김서안', '김지훈', '허윤혜', '맹원태', '윤나영', '권오현']",샤롯데씨어터,2019/09/03 ~ 2019/09/15 
76,사랑했어요,창작,7.6,"['송창의', '나윤권', '이홍기', '이재진', '문시온', '김보경', '신고은', '박세훈', '백예은', '이정선', '김형기', '장향희', '이강', '박가람', '이호연']",성남아트센터 오페라하우스,2019/09/20 ~ 2019/10/27 
77,백범,창작,8.6,"['이주광', '송욱경', '문지수', '노희찬', '김사라', '송형은', '황만익', '최현선', '전해주', '윤진웅']",국립중앙박물관 극장 용,2019/04/11 ~ 2019/04/12 
78,벤허,창작,9.7,"['카이', '한지상', '민우혁', '박은태', '문종원', '박민성', '김지우', '린아', '이병준', '이정열', '서지영', '임선애', '홍경수', '선한국', '이정수', '문은수', '이윤우', '이지훈', '백시호', '선재', '박종배', '최도진', '권기중', '이민재', '정설웅', '이우진', '이한울', '조상현', '김원빈', '김재현', '서종원', '정종락', '백승리']",블루스퀘어 신한카드홀 (구 인터파크홀),2019/07/30 ~ 2019/10/13 
79,록키호러쇼,라이선스,9.4,"['송용진', '조형균', '김찬호', '최서연', '이예은', '이지수', '양지원', '진태화', '임준혁', '임진아', '유리아', '여은', '임강성', '송유택', '최민우', '이윤하', '전예지', '지혜근', '오석원', '조남희', '허정규', '휘림', '이승헌', '권상석', '이슬기', '심건우', '김서노', '전호준', '영오', '이혜란', '신한결', '장보람']",홍익대 대학로 아트센터 대극장,2019/05/17 ~ 2019/07/28 
80,써니텐,창작,9.6,"['이주훈', '민용진', '조준휘', '김윤후', '차강석', '연석', '성민', '김다운', '임성목', '아린', '홍성희', '박혜선', '김단아', '김수현', '한미래', '박지우', '정현희', '이승리', '윤석배', '진대연', '서덕훈', '김민호', '신광희', '방보용', '김도연', '김범석', '김영신']",제이디비 스퀘어 (JDB SQUARE),2019/07/12 ~ 2021/01/03 
